DR5,GAPDH,PARP
"[1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
"[-2.654187038767017, 30.412784263128913]",,
"[-3.931136076674798, 29.787909349836575]",,
"[-4.037513489110505, 35.3421215212911]",,
"[2.897975264890272, 6.934816976934037]",,
"[2.163086741090331, 18.02565218110755]",,
"[0.1852654035713839, 16.492211438780068]",,
"[-1.480696710210016, 19.331808035431195]",,
,"[1.9379276558554632, 1.0257870900278763, 0.5435772397563884, 0.4216085699498701]","[1.744079127483863, 5.749083794369585, 14.415301557653336, 10.983683365616145]"
